frame,time_s,object_id,reference_id,x_relative,y_relative,depth_difference_raw,status,role
0,0.0,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
0,0.0,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
0,0.0,moisturizer,phone,0.08153378931354116,0.0624982557416498,0.9988136291503906,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
1,0.06666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
1,0.06666666666666667,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
1,0.06666666666666667,moisturizer,phone,0.08036806848510125,0.061829412608492174,0.9892668724060059,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
2,0.13333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
2,0.13333333333333333,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
2,0.13333333333333333,moisturizer,phone,0.07950427990183984,0.06120466294329385,0.9912080764770508,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
3,0.2,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
3,0.2,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
3,0.2,moisturizer,phone,0.07872711522554332,0.06047002585606942,0.9784703254699707,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
4,0.26666666666666666,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
4,0.26666666666666666,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
4,0.26666666666666666,moisturizer,phone,0.07928233497112913,0.06080008383998403,0.9763245582580566,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
5,0.3333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
5,0.3333333333333333,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
5,0.3333333333333333,moisturizer,phone,0.07951296861010859,0.06104687525244934,0.9791536331176758,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
6,0.4,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
6,0.4,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
6,0.4,moisturizer,phone,0.08030720033965155,0.0613406371059696,0.9636197090148926,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
7,0.4666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
7,0.4666666666666667,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
7,0.4666666666666667,moisturizer,phone,0.08071386736148045,0.061087196142682876,0.9594287872314453,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
8,0.5333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
8,0.5333333333333333,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
8,0.5333333333333333,moisturizer,phone,0.08147636680692005,0.0615034854145603,0.9549927711486816,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
9,0.6,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
9,0.6,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
9,0.6,moisturizer,phone,0.08183362100530378,0.062174645053950206,0.9659523963928223,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
10,0.6666666666666666,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
10,0.6666666666666666,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
10,0.6666666666666666,moisturizer,phone,0.08184776427136953,0.06287810416766382,0.9861564636230469,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
11,0.7333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
11,0.7333333333333333,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
11,0.7333333333333333,moisturizer,phone,0.08164175981387534,0.06286358560355843,1.0049805641174316,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
12,0.8,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
12,0.8,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
12,0.8,moisturizer,phone,0.08213273468354987,0.06276477511130829,1.003171443939209,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
13,0.8666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
13,0.8666666666666667,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
13,0.8666666666666667,moisturizer,phone,0.0818907351862238,0.06220610739846011,1.0106496810913086,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
14,0.9333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
14,0.9333333333333333,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
14,0.9333333333333333,moisturizer,phone,0.0803840805343925,0.061482710077981007,1.0332107543945312,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
15,1.0,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
15,1.0,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
15,1.0,moisturizer,phone,0.07826733041232659,0.06049078673509056,1.0428032875061035,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
16,1.0666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
16,1.0666666666666667,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
16,1.0666666666666667,moisturizer,phone,0.07758953960849657,0.060342561730509,1.0584163665771484,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
17,1.1333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
17,1.1333333333333333,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
17,1.1333333333333333,moisturizer,phone,0.07803575181757338,0.06050790282166019,1.0842375755310059,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
18,1.2,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
18,1.2,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
18,1.2,moisturizer,phone,0.07874531079436375,0.06049885495908036,1.0903096199035645,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
19,1.2666666666666666,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
19,1.2666666666666666,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
19,1.2666666666666666,moisturizer,phone,0.07941307152578225,0.06098506357211386,1.0969014167785645,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
20,1.3333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
20,1.3333333333333333,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
20,1.3333333333333333,moisturizer,phone,0.07847992302412465,0.061000151330338204,1.108264446258545,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
21,1.4,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
21,1.4,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
21,1.4,moisturizer,phone,0.07916336797546342,0.061595846437118684,1.1229944229125977,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
22,1.4666666666666666,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
22,1.4666666666666666,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
22,1.4666666666666666,moisturizer,phone,0.07952486440090656,0.06126599921422915,1.146986961364746,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
23,1.5333333333333334,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
23,1.5333333333333334,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
23,1.5333333333333334,moisturizer,phone,0.0822791911683407,0.06192024918897132,1.1856393814086914,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
24,1.6,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
24,1.6,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
24,1.6,moisturizer,phone,0.08286228760071368,0.06198839939753498,1.2013068199157715,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
25,1.6666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
25,1.6666666666666667,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
25,1.6666666666666667,moisturizer,phone,0.0835869108787487,0.0625856492636393,1.1962532997131348,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
26,1.7333333333333334,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
26,1.7333333333333334,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
26,1.7333333333333334,moisturizer,phone,0.08040469547344775,0.06181894927684084,1.150629997253418,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
27,1.8,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
27,1.8,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
27,1.8,moisturizer,phone,0.07847160756304827,0.06178620794338652,1.1448993682861328,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
28,1.8666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
28,1.8666666666666667,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
28,1.8666666666666667,moisturizer,phone,0.07807158418374072,0.06196020701993388,1.0819807052612305,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
29,1.9333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
29,1.9333333333333333,water-bottle,phone,,,,REFERENCE_OR_OBJECT_GAP,moving_measured
